Order Date,Region,Industry,Customer,Sales,Profit,Discount,profit_margin
2022-11-09,EMEA,Energy,Chevron,261.96,41.9136,0.0,0.16000000000000003
2022-11-09,EMEA,Energy,Chevron,731.94,219.582,0.0,0.3
2022-06-13,AMER,Energy,Phillips 66,14.62,6.8714,0.0,0.47000000000000003
2021-10-11,EMEA,Energy,Royal Dutch Shell,957.5775,-383.031,0.45,-0.4
2021-10-11,EMEA,Energy,Royal Dutch Shell,22.368,2.5164,0.2,0.1125
2020-06-09,AMER,Finance,BNP Paribas,48.86,14.1694,0.0,0.29
2020-06-09,AMER,Finance,BNP Paribas,7.28,1.9656,0.0,0.27
2020-06-09,AMER,Finance,BNP Paribas,907.152,90.7152,0.2,0.09999999999999999
2020-06-09,AMER,Finance,BNP Paribas,18.504,5.7825,0.2,0.31249999999999994
2020-06-09,AMER,Finance,BNP Paribas,114.9,34.47,0.0,0.3
2020-06-09,AMER,Finance,BNP Paribas,1706.184,85.3092,0.2,0.05
2020-06-09,AMER,Finance,BNP Paribas,911.424,68.3568,0.2,0.07500000000000001
2023-04-16,EMEA,Energy,Engie,15.552,5.4432,0.2,0.35000000000000003
2022-12-06,AMER,Tech,Microsoft,407.976,132.5922,0.2,0.32499999999999996
2021-11-22,APJ,Healthcare,Pfizer,68.81,-123.858,0.8,-1.8
2021-11-22,APJ,Healthcare,Pfizer,2.544,-3.816,0.8,-1.5
2020-11-11,EMEA,Manufacturing,Toyota Motor,665.88,13.3176,0.0,0.02
2020-05-13,EMEA,Retail,Home Depot,55.5,9.99,0.0,0.18
2020-08-27,AMER,Finance,Wells Fargo,8.56,2.4824,0.0,0.29
2020-08-27,AMER,Finance,Wells Fargo,213.48,16.011,0.2,0.075
2020-08-27,AMER,Finance,Wells Fargo,22.72,7.384,0.2,0.325
2022-12-10,AMER,Retail,Carrefour,19.46,5.0596,0.0,0.25999999999999995
2022-12-10,AMER,Retail,Carrefour,60.34,15.6884,0.0,0.25999999999999995
2023-07-17,EMEA,Retail,Costco Wholesale,71.372,-1.0196,0.3,-0.014285714285714287
2021-09-25,EMEA,Consumer Products,McKesson,1044.63,240.2649,0.0,0.22999999999999998
2022-01-16,AMER,Manufacturing,Siemens,11.648,4.2224,0.2,0.36250000000000004
2022-01-16,AMER,Manufacturing,Siemens,90.57,11.7741,0.0,0.13
2021-09-17,EMEA,Tech,Intel,3083.43,-1665.0522,0.5,-0.54
2021-09-17,EMEA,Tech,Intel,9.618,-7.0532,0.7,-0.7333333333333334
2021-09-17,EMEA,Tech,Intel,124.2,15.525,0.2,0.125
2021-09-17,EMEA,Tech,Intel,3.264,1.1016,0.2,0.3375
2021-09-17,EMEA,Tech,Intel,86.304,9.7092,0.2,0.11249999999999999
2021-09-17,EMEA,Tech,Intel,6.858,-5.715,0.7,-0.8333333333333334
2021-09-17,EMEA,Tech,Intel,15.76,3.546,0.2,0.22499999999999998
2023-10-20,APJ,Misc,Glencore,29.472,9.9468,0.2,0.33749999999999997
2022-12-09,APJ,Consumer Products,Procter & Gamble,1097.544,123.4737,0.2,0.11249999999999999
2022-12-09,APJ,Consumer Products,Procter & Gamble,190.92,-147.963,0.6,-0.775
2021-12-27,APJ,Finance,Banco Santander,113.328,35.415,0.2,0.3125
2021-12-27,APJ,Finance,Banco Santander,532.3992,-46.9764,0.32,-0.08823529411764706
2021-12-27,APJ,Finance,Banco Santander,212.058,-15.147,0.3,-0.07142857142857144
2021-12-27,APJ,Finance,Banco Santander,371.168,41.7564,0.2,0.1125
2023-09-11,APJ,Energy,Pemex,147.168,16.5564,0.2,0.11249999999999999
